,title,production_company_name
378,Stealing Harvard,Imagine Entertainment
379,Abandon,Spyglass Entertainment
383,The Crime of Padre Amaro,Alameda Films
384,Max,Warner Bros.
386,Full Frontal,Populist Pictures
391,All or Nothing,Thin Man Films
392,Red Dragon,Metro-Goldwyn-Mayer (MGM)
393,The Crocodile Hunter: Collision Course,Discovery Channel Pictures
394,Mondays in the Sun,Eurimages
396,Juwanna Mann,Morgan Creek Productions
398,Alive,Touchstone Pictures
403,Tadpole,InDigEnt (Independent Digital Entertainment)
406,Ararat,Serendipity Point Films
407,War,Current Entertainment
411,Addicted,Codeblack Entertainment
412,Three,ARTE
413,Hostage,Cheyenne Enterprises
418,Dracula: Pages from a Virgin's Diary,Dracula Productions Inc.
420,Cinderella,Genre Films
421,Contagion,Regency Enterprises
422,Harry Potter and the Chamber of Secrets,Warner Bros.
423,The Lord of the Rings: The Two Towers,The Saul Zaentz Company
424,Men in Black II,Columbia Pictures Corporation
425,Catch Me If You Can,Parkes/MacDonald Productions
427,Ice Age,Twentieth Century Fox Animation
428,The Scorpion King,World Wrestling Entertainment (WWE)
429,The Bourne Identity,Hypnotic
430,Minority Report,Amblin Entertainment
432,Scooby-Doo,Warner Bros.
433,The Transporter,Canal+
434,Resident Evil,New Legacy
438,Blade II,Milk & Honey
441,The Pianist,Heritage Films
443,City of God,Wild Bunch
444,Signs,Blinding Edge Pictures
446,xXx,Revolution Studios
447,Gangs of New York,Alberto Grimaldi Productions
449,We Were Soldiers,Motion Picture Production GmbH & Co. Erste KG
454,Austin Powers in Goldmember,Team Todd
457,Adaptation.,Clinica Estetico
458,My Big Fat Greek Wedding,Gold Circle Films
459,Chicago,Storyline Entertainment
461,A Walk to Remember,Gaylord Films
463,Bend It Like Beckham,Filmförderung Hamburg
465,Queen of the Damned,Warner Bros.
468,Insomnia,Witt/Thomas Productions
469,Irreversible,Wild Bunch
470,Mr. Deeds,Out of the Blue... Entertainment
471,Unfaithful,Epsilon Motion Pictures
472,Confessions of a Dangerous Mind,Mad Chance
473,The Hours,Scott Rudin Productions
474,Ghost Ship,Dark Castle Entertainment
475,The Sum of All Fears,MFP Munich Film Partners GmbH & Company I. Produktions KG
476,Return to Never Land,Walt Disney Animation Australia
477,Frida,Ventanarosa Productions
478,Reign of Fire,World 2000 Entertainment
479,Bad Company,Stillking Films
480,The Count of Monte Cristo,Count of Monte Cristo Ltd.
481,The Santa Clause 2,Boxing Cat Films
482,Two Weeks Notice,NPV Entertainment
483,Jackass: The Movie,Dickhouse Productions
485,Road to Perdition,Twentieth Century Fox Film Corporation
488,The Rookie,98 MPH Productions
490,Hart's War,Metro-Goldwyn-Mayer (MGM)
493,Murder by Numbers,Schroeder Hoffman Productions
494,K-19: The Widowmaker,National Geographic Society
499,The Four Feathers,Marty Katz Productions
502,Punch-Drunk Love,Ghoulardi Film Company
503,Dragonfly,Shady Acres Entertainment
504,40 Days and 40 Nights,Working Title Films
508,High Crimes,Monarch Pictures
509,Collateral Damage,Warner Bros.
511,Analyze That,Warner Bros.
512,Eight Legged Freaks,Centropolis Entertainment
513,The Quiet American,Mirage Enterprises
514,The Adventures of Pluto Nash,NPV Entertainment
515,Dark Blue,IM Filmproduktion
516,Solaris,Unit Four
517,The Tuxedo,Blue Train Productions
518,Rabbit-Proof Fence,Rumbalara Films
521,Narc,Cruise/Wagner Productions
523,Ballistic: Ecks vs. Sever,Dante Entertainment
524,Darkness,Dimension Films
525,Swimfan,Cobalt Media Group
527,City By The Sea,Franchise Pictures
529,Bowling for Columbine,Vif Babelsberger Filmproduktion GmbH & Co. Zweite KG
533,Life or Something Like It,Davis Entertainment
534,The Master of Disguise,Happy Madison Productions
538,The Good Girl,Flan de Coco Films
539,8 Women,Le Studio Canal+
541,Spider,Canadian Film or Video Production Tax Credit (CPTC)
542,John Q,Evolution Entertainment
543,The New Guy,Bedlam Pictures
544,Rollerball,Mosaic Media Group
548,Dark Water,Post No Bills Films
549,Swept Away,Codi S.p.a.
551,Like Mike,NBA Entertainment
552,Bloody Sunday,Hell's Kitchen Films
553,FearDotCom,DoRo Fiction Film
555,Blue Crush,Universal Pictures
556,Dirty Pretty Things,Celador Productions
557,White Oleander,Gaylord Films
558,Amen.,Canal+
560,Clockstoppers,Valhalla Motion Pictures
562,Lilya 4-ever,Film i Väst
566,Spun,Silver Nitrate
567,Death to Smoochy,Warner Bros.
569,The Wild Thornberrys Movie,Paramount Animation
573,Gerry,My Cactus
574,Moonlight Mile,Hyde Park Entertainment
575,They,Good Machine
577,The Dangerous Lives of Altar Boys,Initial Entertainment Group (IEG)
578,Carrie,Misher Films
579,Hey Arnold! The Movie,Nickelodeon Animation Studios
580,Welcome to Collinwood,Gaylord Films
582,Ripley's Game,Baby Films
583,Derailed,Patalex V Productions Limited
584,Extreme Ops,ApolloMedia Distribution
585,Nicholas Nickleby,Potboiler Productions
586,Auto Focus,Good Machine
589,Stealing Harvard,Revolution Studios
590,Abandon,Touchstone Pictures
594,The Crime of Padre Amaro,Cinecolor-México
595,Max,Metro-Goldwyn-Mayer (MGM)
597,Full Frontal,Monophonic Inc.
604,The Crocodile Hunter: Collision Course,Metro-Goldwyn-Mayer (MGM)
605,Mondays in the Sun,Continental Producciones
614,Tadpole,Miramax
617,Ararat,Ego Film Arts
618,War,Lionsgate
623,Three,Westdeutscher Rundfunk (WDR)
624,Hostage,Yari Film Group
629,Dracula: Pages from a Virgin's Diary,Vonnie Von Helmolt Film
631,Cinderella,Beagle Pug Films
632,Contagion,Warner Bros.
635,Men in Black II,Parkes+MacDonald Image Nation
639,The Scorpion King,Alphaville Films
640,The Bourne Identity,Kalima Productions GmbH & Co. KG
641,Minority Report,Twentieth Century Fox Film Corporation
644,The Transporter,EuropaCorp
645,Resident Evil,Constantin Film Produktion
649,Blade II,Imaginary Forces
652,The Pianist,Studio Babelsberg
654,City of God,Globo filmes
665,Austin Powers in Goldmember,Moving Pictures
668,Adaptation.,Intermedia
669,My Big Fat Greek Wedding,Ontario Film Development Corporation
672,A Walk to Remember,Warner Bros.
674,Bend It Like Beckham,UK Film Council
676,Queen of the Damned,WV Films LLC
680,Irreversible,Les Cinémas de la Zone
681,Mr. Deeds,Happy Madison Productions
682,Unfaithful,Unfaithful Filmproduktion GmbH & Co. KG
685,Ghost Ship,Warner Bros.
686,The Sum of All Fears,S.O.A.F. Productions
687,Return to Never Land,DisneyToon Studios
688,Frida,Handprint Entertainment
689,Reign of Fire,Touchstone Pictures
691,The Count of Monte Cristo,Touchstone Pictures
693,Two Weeks Notice,Fortis Films
694,Jackass: The Movie,Lynch Siderow Productions
701,Hart's War,David Ladd Films
705,K-19: The Widowmaker,New Regency Pictures
710,The Four Feathers,Jaffilms Inc.
714,Dragonfly,Gran Via Productions
719,High Crimes,Epsilon Motion Pictures
720,Collateral Damage,Hacienda Productions
722,Analyze That,Tribeca Productions
723,Eight Legged Freaks,Electric Entertainment
725,The Adventures of Pluto Nash,Mel's Cite du Cinema
726,Dark Blue,Cosmic Pictures
729,Rabbit-Proof Fence,Olsen Levy
734,Ballistic: Ecks vs. Sever,Chris Lee Productions
735,Darkness,Castelao Producciones
